relative_path,size_bytes,human_size,extension,channel,sha256
10_输入收件箱/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/每日输入收件箱/2026-06-08｜入库材料｜20260608-115201｜豇豆包子｜文案包.md,1304,1.3 KiB,.md,A_DIRECT_GIT,
10_输入收件箱/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/每日输入收件箱/2026-06-15｜入库材料｜20260615-081843｜未命名.md,15578,15.2 KiB,.md,A_DIRECT_GIT,
20_规则与流程/来源路径保留/2026-06-03/notion-3-crv/本身即美/本身即美｜建设平台（总根）/本身即美｜周报 月报模板区 6aa0a439e62b4ba7b6d2280c212c8257.md,1058,1.0 KiB,.md,A_DIRECT_GIT,
20_规则与流程/来源路径保留/2026-06-03/notion-3-crv/本身即美/本身即美｜建设平台（总根）/本身即美｜小红书文案模板（权威档案） f724d47f2dbe44c4aae5bc705c908252.md,5938,5.8 KiB,.md,A_DIRECT_GIT,
20_规则与流程/来源路径保留/2026-06-03/notion-3-crv/本身即美/本身即美｜建设平台（总根）/本身即美｜提取协议（从长文到资产） 0420a2c887df427a87111f338dc5828d.md,1037,1.0 KiB,.md,A_DIRECT_GIT,
20_规则与流程/来源路径保留/2026-06-03/notion-3-crv/本身即美/本身即美｜建设平台（总根）/BJM-01｜本身即美｜账号中枢/BJM-05｜本身即美｜月报（模板） f3f0af196e8d4b9bbe21dd2101232823.md,1577,1.5 KiB,.md,A_DIRECT_GIT,
20_规则与流程/来源路径保留/2026-06-03/notion-3-crv/本身即美/本身即美｜建设平台（总根）/BJM-01｜本身即美｜账号中枢/BJM-06｜本身即美｜法典（运行协议） c12f402078de4ea5bc275cdba6d03244.md,4755,4.6 KiB,.md,A_DIRECT_GIT,
20_规则与流程/来源路径保留/2026-06-03/notion-3-crv/本身即美/本身即美｜建设平台（总根）/本身即美｜想法研究中心/02｜阶段档案模板.md,1496,1.5 KiB,.md,A_DIRECT_GIT,
20_规则与流程/来源路径保留/2026-06-03/notion-3-crv/本身即美/本身即美｜建设平台（总根）/本身即美｜想法研究中心/执行台/08｜第二阶段标准样片完整制作包模板.md,5408,5.3 KiB,.md,A_DIRECT_GIT,
20_规则与流程/来源路径保留/2026-06-03/notion-3-crv/本身即美/本身即美｜建设平台（总根）/本身即美｜想法研究中心/执行台/09｜第二阶段标准样片可视化执行模板.md,12430,12.1 KiB,.md,A_DIRECT_GIT,
20_规则与流程/来源路径保留/2026-06-03/notion-3-crv/本身即美/本身即美｜建设平台（总根）/本身即美｜想法研究中心/执行台/13｜第二阶段文案写作手法模板.md,4729,4.6 KiB,.md,A_DIRECT_GIT,
20_规则与流程/来源路径保留/2026-06-03/notion-3-crv/本身即美/本身即美｜建设平台（总根）/本身即美｜想法研究中心/执行台/15｜第二阶段联网趋势升级模板.md,4641,4.5 KiB,.md,A_DIRECT_GIT,
20_规则与流程/来源路径保留/2026-06-03/notion-3-crv/本身即美/本身即美｜建设平台（总根）/本身即美｜想法研究中心/执行台/27｜本身即美工程总归档与工作工具规则.md,18186,17.8 KiB,.md,A_DIRECT_GIT,
20_规则与流程/来源路径保留/2026-06-03/notion-3-crv/本身即美/本身即美｜建设平台（总根）/本身即美｜想法研究中心/执行台/41｜美学笔记生产线垂直通道规则.md,15971,15.6 KiB,.md,A_DIRECT_GIT,
